"""Threshold""",AKAZE (OpenCV) [kp:8000; match:nn],SphereDesc [kp:8000; match:nn],Brisk + SSS [kp:8000; match:nn],D2-Net (single scale) [kp:8000; match:nn],D2-Net (multiscale) [kp:8000; match:nn],D2-Net (single scale; no PT dataset) [kp:8000; match:nn],HarrisZ/RsGLOH2 [kp:8000; match:sGOr2f],HesAffNet - HardNet2 [kp:8000; match:nn],Hessian - HardNet2 [kp:8000; match:nn],ORB (OpenCV) [kp:8000; match:nn],SIFT + Scale-invariant desc. (L) [kp:8000; match:nn],SIFT-AID (NN matcher) [kp:8000; match:nn],SIFT-AID (custom matcher) [kp:8000; match:sift-aid],SIFT-ContextDesc-GitHub [kp:8000; match:nn],SIFT-Dense-ContextDesc [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V2 [kp:8000; match:nn],SIFT-GeoDesc-GitHub [kp:8000; match:nn],SIFT + GeoDesc [kp:8000; match:nn],SIFT + HardNet [kp:8000; match:nn],SIFT + L2-Net [kp:8000; match:nn],SIFT + ContextDesc + Inlier Classification V1 [kp:8000; match:nn],SIFT (OpenCV) [kp:8000; match:nn],SIFT + TFeat [kp:8000; match:nn],SuperPoint [kp:8000; match:nn],SIFT + Scale-invariant desc. (C) [kp:8000; match:nn],SURF (OpenCV) [kp:8000; match:nn]
5,0.0006330041549670731,0.0006153974313806282,0.000581348762040991,0.0006465674757672376,0.0005966283800805483,0.0010021769830341415,0.0007237177350126601,0.0009252401381107976,0.00082965460555025,0.00023863966315454825,0.0006722884638445487,0.000490352110749532,0.00048501813757727513,0.0007517603403202952,0.0006965393567286161,0.0016229659328965127,0.0006610056653935159,0.0007007180422239728,0.0009490458294248828,0.0009255761808723197,0.001754738259023244,0.0003915306115114781,0.0007331596799200126,0.0007976034995990546,0.0007513473229036414,0.0005724818727714672
10,0.006973525533543633,0.010603819650874667,0.007437617883620808,0.011922860264731825,0.012706592314375643,0.012121590358603844,0.009789473278341251,0.009800130865518036,0.011142434960380027,0.004452598415302458,0.011443283883757384,0.00613492653675741,0.005229089283503285,0.011732111405864538,0.011113629288627865,0.021696495596716322,0.00912787404099709,0.010327321323936317,0.011200077036814233,0.01100876452398589,0.01994122169994672,0.006845306326413891,0.010340031877983769,0.010576713260921545,0.011359673577452819,0.0056509010378782
15,0.028808347467418838,0.040294927653775674,0.0335609640848809,0.046098399664517856,0.04895647143218474,0.0449316822678429,0.04105060066538285,0.03798174796250552,0.04161660757402843,0.018884766126319612,0.04588044495438027,0.02258006378152352,0.021813895732586647,0.04394123631225077,0.043248424773926646,0.08231984500198018,0.03677515538109044,0.03673033400235088,0.042506169348750046,0.04000863598718145,0.07515212655126555,0.02767632010790686,0.03565639940345929,0.03867175621930902,0.042214104636041284,0.02103845220840617
20,0.07260515240483183,0.09776275159211853,0.08564637085058681,0.10836878007784932,0.1177132525493299,0.10615772598064979,0.10111132773961838,0.09319941559268057,0.10242662852358596,0.0501576841665959,0.10557988150242674,0.05429936718790313,0.05154381202087363,0.10248419572287838,0.10011814764068797,0.1818464363246857,0.09042413520331932,0.09067237326063567,0.10050536606354901,0.09290489288623721,0.16991135665919554,0.06918487181049392,0.08447340274265434,0.08785024498379855,0.09992678198426207,0.054152281612979254
25,0.13799585035570494,0.17365515899446363,0.15220216101285053,0.19004709645944232,0.20363490846544494,0.18882173290073298,0.17959729992927193,0.16820526478839906,0.1850789355438619,0.09520244232798293,0.18828943699835748,0.09806124736776976,0.09601446269158487,0.1832093543300415,0.17791500016946113,0.2962700907877086,0.1652650284779101,0.16546440856584166,0.17927348217779843,0.1695921697776042,0.2789232734247664,0.13033250475059,0.1540082305312915,0.15288872815959442,0.18107817463602735,0.1058551594387644
